iter	Passed	Remaining
0	175	174828
1	191	95657
2	208	69404
3	224	55871
4	240	47854
5	256	42458
6	269	38296
7	280	34720
8	290	31957
9	300	29732
10	308	27739
11	316	26021
12	323	24597
13	331	23367
14	338	22244
15	343	21144
16	349	20181
17	353	19303
18	358	18496
19	362	17786
20	367	17139
21	372	16551
22	376	16012
23	381	15520
24	386	15076
25	391	14670
26	396	14284
27	401	13925
28	405	13585
29	410	13269
30	414	12965
31	419	12687
32	424	12427
33	428	12181
34	433	11951
35	438	11729
36	442	11522
37	447	11331
38	452	11152
39	457	10982
40	462	10816
41	466	10652
42	471	10495
43	476	10349
44	481	10212
45	485	10073
46	490	9943
47	494	9816
48	499	9697
49	504	9584
50	509	9477
51	514	9375
52	519	9277
53	524	9188
54	529	9102
55	534	9011
56	539	8930
57	544	8844
58	549	8762
59	554	8681
60	558	8601
61	563	8530
62	568	8458
63	573	8386
64	578	8317
65	582	8246
66	587	8179
67	592	8114
68	596	8052
69	601	7990
70	606	7932
71	611	7876
72	615	7821
73	621	7772
74	626	7721
75	630	7670
76	635	7622
77	640	7570
78	645	7521
79	650	7477
80	654	7431
81	659	7385
82	664	7341
83	669	7299
84	673	7255
85	679	7216
86	684	7178
87	688	7138
88	693	7101
89	698	7066
90	703	7031
91	709	6998
92	714	6964
93	719	6930
94	723	6893
95	728	6857
96	732	6820
97	737	6787
98	742	6754
99	746	6721
100	751	6691
101	757	6665
102	761	6635
103	766	6606
104	772	6580
105	776	6551
106	781	6525
107	787	6500
108	792	6475
109	796	6447
110	801	6422
111	807	6399
112	811	6373
113	816	6348
114	821	6321
115	826	6296
116	830	6270
117	835	6246
118	840	6226
119	845	6203
120	850	6180
121	855	6156
122	859	6131
123	864	6110
124	869	6089
125	874	6067
126	879	6046
127	884	6023
128	888	6001
129	893	5980
130	898	5959
131	903	5939
132	908	5922
133	913	5905
134	918	5884
135	923	5865
136	928	5848
137	933	5829
138	938	5811
139	942	5792
140	947	5775
141	952	5757
142	958	5742
143	963	5727
144	968	5709
145	973	5696
146	979	5681
147	983	5663
148	988	5647
149	993	5632
150	999	5617
151	1004	5605
152	1009	5591
153	1014	5575
154	1020	5561
155	1024	5545
156	1029	5530
157	1034	5514
158	1039	5498
159	1044	5484
160	1049	5470
161	1054	5456
162	1060	5443
163	1065	5429
164	1069	5414
165	1074	5399
166	1080	5388
167	1085	5375
168	1090	5362
169	1095	5349
170	1100	5336
171	1106	5324
172	1110	5310
173	1116	5298
174	1121	5286
175	1126	5274
176	1133	5268
177	1138	5259
178	1144	5249
179	1150	5242
180	1157	5237
181	1164	5233
182	1170	5226
183	1176	5215
184	1181	5204
185	1186	5193
186	1192	5182
187	1197	5171
188	1202	5160
189	1207	5148
190	1212	5137
191	1217	5123
192	1222	5110
193	1226	5096
194	1231	5085
195	1236	5072
196	1241	5059
197	1246	5048
198	1251	5036
199	1255	5023
200	1260	5010
201	1265	4997
202	1269	4984
203	1274	4972
204	1279	4962
205	1285	4953
206	1290	4942
207	1295	4932
208	1300	4921
209	1305	4910
210	1310	4900
211	1315	4890
212	1320	4879
213	1325	4868
214	1330	4857
215	1335	4846
216	1340	4836
217	1345	4825
218	1350	4814
219	1355	4804
220	1359	4793
221	1364	4782
222	1369	4771
223	1374	4759
224	1378	4748
225	1383	4736
226	1388	4726
227	1393	4718
228	1398	4708
229	1403	4697
230	1408	4687
231	1412	4676
232	1417	4666
233	1422	4656
234	1427	4646
235	1432	4636
236	1437	4626
237	1442	4617
238	1447	4607
239	1452	4598
240	1457	4589
241	1462	4579
242	1466	4569
243	1471	4559
244	1476	4550
245	1481	4541
246	1486	4531
247	1491	4523
248	1496	4514
249	1501	4504
250	1506	4495
251	1511	4486
252	1516	4477
253	1521	4468
254	1526	4458
255	1531	4449
256	1535	4440
257	1540	4430
258	1545	4421
259	1550	4412
260	1555	4403
261	1560	4395
262	1565	4386
263	1570	4377
264	1575	4368
265	1579	4359
266	1584	4350
267	1589	4342
268	1594	4333
269	1599	4325
270	1604	4317
271	1609	4308
272	1614	4300
273	1619	4291
274	1624	4282
275	1629	4274
276	1634	4265
277	1639	4257
278	1644	4249
279	1648	4240
280	1654	4232
281	1658	4223
282	1663	4215
283	1668	4207
284	1673	4199
285	1678	4190
286	1683	4182
287	1688	4174
288	1693	4166
289	1698	4158
290	1703	4150
291	1708	4142
292	1713	4134
293	1718	4126
294	1723	4118
295	1728	4109
296	1732	4100
297	1737	4092
298	1741	4083
299	1746	4075
300	1751	4067
301	1756	4059
302	1761	4051
303	1765	4043
304	1770	4034
305	1775	4026
306	1780	4019
307	1785	4011
308	1790	4004
309	1795	3996
310	1800	3987
311	1805	3980
312	1809	3972
313	1814	3964
314	1819	3955
315	1823	3947
316	1828	3939
317	1833	3932
318	1838	3924
319	1843	3917
320	1848	3909
321	1853	3901
322	1857	3893
323	1862	3885
324	1866	3877
325	1871	3869
326	1876	3862
327	1881	3854
328	1886	3847
329	1891	3840
330	1896	3833
331	1901	3826
332	1906	3818
333	1911	3811
334	1916	3804
335	1921	3797
336	1926	3789
337	1931	3782
338	1936	3776
339	1941	3768
340	1946	3761
341	1951	3754
342	1957	3748
343	1962	3742
344	1967	3734
345	1971	3727
346	1976	3719
347	1981	3712
348	1986	3705
349	1991	3698
350	1996	3691
351	2001	3684
352	2006	3677
353	2011	3670
354	2015	3662
355	2020	3655
356	2025	3648
357	2029	3640
358	2034	3632
359	2039	3625
360	2044	3618
361	2049	3611
362	2054	3604
363	2059	3597
364	2064	3591
365	2069	3584
366	2073	3577
367	2078	3570
368	2083	3563
369	2088	3556
370	2093	3549
371	2098	3542
372	2103	3535
373	2108	3528
374	2112	3521
375	2117	3514
376	2122	3507
377	2127	3500
378	2132	3493
379	2137	3486
380	2142	3480
381	2147	3473
382	2152	3466
383	2156	3459
384	2161	3453
385	2166	3446
386	2171	3439
387	2176	3432
388	2180	3425
389	2185	3418
390	2190	3411
391	2196	3406
392	2201	3399
393	2205	3392
394	2209	3384
395	2214	3377
396	2219	3371
397	2224	3364
398	2229	3358
399	2234	3352
400	2239	3345
401	2244	3338
402	2249	3331
403	2253	3325
404	2258	3318
405	2263	3311
406	2268	3305
407	2273	3299
408	2278	3292
409	2283	3285
410	2288	3279
411	2293	3272
412	2298	3266
413	2302	3259
414	2307	3253
415	2312	3246
416	2318	3241
417	2323	3234
418	2328	3228
419	2333	3222
420	2338	3215
421	2343	3209
422	2348	3203
423	2352	3196
424	2357	3189
425	2362	3183
426	2367	3176
427	2372	3170
428	2377	3164
429	2382	3158
430	2387	3152
431	2392	3146
432	2397	3139
433	2402	3133
434	2407	3127
435	2412	3121
436	2417	3115
437	2423	3109
438	2427	3102
439	2432	3096
440	2437	3090
441	2442	3083
442	2447	3076
443	2452	3070
444	2457	3064
445	2461	3058
446	2466	3051
447	2472	3045
448	2477	3039
449	2482	3034
450	2487	3027
451	2492	3021
452	2497	3015
453	2502	3009
454	2507	3003
455	2512	2997
456	2517	2991
457	2522	2984
458	2527	2978
459	2532	2972
460	2536	2966
461	2541	2959
462	2546	2953
463	2551	2947
464	2556	2941
465	2561	2935
466	2566	2928
467	2570	2922
468	2575	2916
469	2580	2909
470	2585	2903
471	2590	2897
472	2595	2891
473	2600	2885
474	2605	2879
475	2610	2874
476	2615	2867
477	2620	2861
478	2625	2855
479	2630	2849
480	2634	2842
481	2639	2836
482	2644	2830
483	2648	2824
484	2653	2817
485	2658	2812
486	2664	2806
487	2668	2800
488	2673	2794
489	2678	2787
490	2682	2781
491	2704	2792
492	2709	2786
493	2714	2780
494	2719	2774
495	2724	2768
496	2729	2761
497	2733	2755
498	2738	2749
499	2743	2743
500	2747	2737
501	2752	2730
502	2757	2724
503	2762	2718
504	2767	2712
505	2772	2707
506	2777	2700
507	2782	2694
508	2787	2688
509	2791	2682
510	2796	2676
511	2801	2670
512	2806	2664
